University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?
2021,Male,22,2019,BCSE,4,Yes,Yes,5,3,Online,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,2,Machine Learning,Single,Yes,Family,No,2.68,No,3.15,36,40000
2021,Female,21,2020,BCSE,4,Yes,No,5,1,Offline,Yes,Yes,2,Basic,97,No,No,No,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,36,50000
2021,Male,21,2020,BCSE,4,Yes,No,1,2,Online,Yes,Yes,3,Advance,70,No,No,Yes,Programming,2,Software,Relationship,No,Family,No,3.10,No,3.50,35,62488
2021,Male,19,2020,BCSE,4,No,Yes,3,2,Online,Yes,Yes,2,Intermediate,70,Yes,No,Yes,Web development,2,Software,Single,No,Family,No,2.68,No,3.15,36,20000
2021,Female,21,2019,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,96,No,No,Yes,Web development,1,Web development,Single,Yes,Bachelor,No,3.81,No,3.65,34,30000
2021,Male,21,2020,BCSE,4,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,80,Yes,No,No,Networking,2,NETWORKING,Single,No,Bachelor,No,2.68,No,3.15,36,50000
2021,Male,22,2020,BCSE,4,Yes,No,2,1,Offline,Yes,Yes,2,Intermediate,98,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,20000
2020,Female,21,2019,BCSE,4,No,Yes,6,3,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,3,Software,Single,Yes,Family,No,2.68,No,3.15,36,25000
2021,Male,21,2020,BCSE,4,Yes,Yes,1,1,Online,Yes,Yes,1,Advance,85,No,No,Yes,Content creation,2,Machine Learning,Single,Yes,Bachelor,Yes,3.89,No,3.81,35,35000
2021,Female,20,2020,BCSE,4,No,No,3,2,Offline,Yes,Yes,1,Basic,97,No,No,Yes,Programming,2,Software,Single,No,Family,No,3.79,No,3.82,39,50000
2021,Male,20,2020,BCSE,4,No,No,4,3,Offline,Yes,No,3,Basic,95,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,4000
2021,Male,19,2020,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,4,Intermediate,70,Yes,No,Yes,Programming,4,Artificial Intelligence,Single,Yes,Family,Yes,3.55,No,3.48,35,40000
2021,Male,21,2020,BCSE,4,Yes,Yes,2,1,Online,Yes,Yes,2,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,Yes,3.28,No,3.32,36,8000
2021,Male,25,2020,BCSE,4,Yes,No,3,3,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,3,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,47972
2022,Male,20,2020,BCSE,2,Yes,Yes,3,3,Online,Yes,Yes,4,Intermediate,90,No,No,Yes,Programming,2,Machine Learning,Single,No,Family,No,2.68,No,3.15,11,30000
2022,Male,20,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,2.68,No,3.15,11,90000
2022,Male,21,2021,BCSE,2,No,No,5,5,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Bachelor,No,2.68,No,3.15,11,30000
2021,Male,23,2018,BCSE,4,Yes,No,8,4,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,36,37000
2022,Male,20,2020,BCSE,2,Yes,Yes,1,1,Offline,Yes,Yes,2,Basic,95,No,No,No,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000
2022,Female,20,2020,BCSE,2,Yes,Yes,3,1,Online,Yes,No,1,Intermediate,80,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,50000
2022,Female,21,2019,BCSE,2,Yes,No,2,1,Offline,Yes,Yes,3,Basic,99,No,No,Yes,Web development,2,Artificial Intelligence,Single,No,Bachelor,No,2.68,No,3.15,11,30000
2019,Male,24,2016,BCSE,11,No,No,2,2,Online,Yes,Yes,5,Basic,70,Yes,No,Yes,Programming,4,Software,Single,No,Bachelor,Yes,2.68,No,3.15,126,20000
2022,Female,20,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,4,Intermediate,100,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,80000
2021,Female,22,2019,BCSE,2,Yes,Yes,5,2,Offline,Yes,Yes,3,Advance,98,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,40000
2022,Male,20,2020,BCSE,2,Yes,No,5,5,Offline,Yes,Yes,6,Basic,100,No,No,Yes,Programming,3,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,11,20000
2022,Male,21,2020,BCSE,2,No,No,3,2,Offline,Yes,Yes,2,Basic,97,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,10000
2022,Male,21,2020,BCSE,2,Yes,Yes,3,3,Offline,Yes,Yes,1,Basic,98,No,No,Yes,Programming,4,Software,Single,No,Bachelor,No,2.68,No,3.15,11,10000
2022,Male,19,2020,BCSE,2,Yes,Yes,5,3,Online,Yes,Yes,6,Intermediate,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000
2022,Male,19,2020,BCSE,2,Yes,Yes,4,2,Online,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000
2022,Male,19,2020,BCSE,2,Yes,No,4,2,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Software,Single,No,Bachelor,No,2.68,No,3.15,11,25000
2022,Male,20,2020,BCSE,2,Yes,No,5,2,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,20000
2022,Male,19,2020,BCSE,2,Yes,Yes,1,1,Online,Yes,Yes,1,Intermediate,90,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,22000
2021,Female,20,2020,BCSE,4,No,No,2,2,Offline,Yes,Yes,3,Basic,99,No,No,No,Programming,1,Software,Single,No,Family,No,3.78,No,3.88,36,200000
2022,Male,20,2020,BCSE,2,Yes,No,7,2,Offline,Yes,Yes,5,Basic,90,No,No,Yes,Programming,2,Software,Single,No,Family,Yes,2.68,No,3.15,11,39000
2022,Male,21,2020,BCSE,2,Yes,Yes,2,1,Online,Yes,Yes,3,Intermediate,90,No,No,No,Programming,1,Machine Learning,Single,No,Family,No,2.68,No,3.15,11,30000
2022,Male,21,2020,BCSE,2,Yes,Yes,2,2,Offline,Yes,Yes,2,Intermediate,88,No,No,No,Programming,2,Software,Single,Yes,Family,No,4.00,No,4.00,11,20000
2022,Male,21,2020,BCSE,2,Yes,Yes,5,2,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,30000
2022,Male,20,2020,BCSE,2,Yes,No,3,1,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Software,Single,No,Family,No,3.90,No,3.90,12,60000
2022,Male,20,2020,BCSE,2,Yes,Yes,2,2,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,11,40000
2022,Male,22,2020,BCSE,2,No,Yes,1,1,Online,Yes,Yes,7,Basic,80,No,No,Yes,Networking,2,Software,Single,Yes,Family,Yes,2.68,No,3.15,11,32000
2021,Male,20,2020,BCSE,2,Yes,No,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Programming,1,Artificial Intelligence,Single,No,Family,No,2.68,No,3.15,11,30000
2021,Female,20,2020,BCSE,2,Yes,Yes,1,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000
2022,Male,20,2020,BCSE,2,Yes,Yes,4,1,Online,Yes,Yes,3,Intermediate,85,No,No,Yes,Web development,2,Software,Single,No,Family,No,2.68,No,3.15,11,30000
2021,Female,20,2020,BCSE,2,Yes,Yes,2,1,Offline,Yes,Yes,4,Intermediate,99,No,No,No,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,40000
2022,Male,20,2020,BCSE,2,Yes,Yes,1,1,Offline,Yes,Yes,4,Intermediate,75,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,35000
2021,Male,21,2020,BCSE,4,Yes,Yes,3,2,Offline,Yes,Yes,4,Intermediate,85,No,No,Yes,Web development,2,Artificial Intelligence,Relationship,No,Bachelor,No,2.68,No,3.15,36,40000
2019,Male,23,2017,BCSE,11,No,Yes,1,2,Offline,Yes,Yes,2,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,126,15000
2020,Male,21,2019,BCSE,8,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95,No,No,Yes,Programming,1,Software,Single,No,Bachelor,No,3.84,No,3.80,80,23000
2020,Male,21,2019,BCSE,8,No,Yes,3,2,Offline,Yes,Yes,2,Advance,95,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,88,62488
2018,Male,24,2016,BCSE,12,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,Programming,2,Machine Learning,Single,Yes,Bachelor,No,3.31,No,3.52,132,350000
2020,Male,22,2019,BCSE,8,No,No,3,2,Online,Yes,Yes,4,Intermediate,100,No,No,Yes,Other,2,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,88,50000
2022,Female,21,2020,BCSE,2,Yes,No,3,1,Online,Yes,Yes,2,Advance,95,No,No,Yes,Programming,1,Software,Single,No,Family,No,2.68,No,3.15,11,40000
2022,Male,20,2020,BCSE,2,No,No,3,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,5,Software,Relationship,No,Bachelor,No,2.68,No,3.15,11,35000
2020,Female,21,2019,BCSE,8,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,80,No,No,Yes,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,88,35000
2022,Male,21,2020,BCSE,2,No,No,8,2,Online,Yes,Yes,1,Basic,100,No,No,Yes,Web development,2,programming,Single,Yes,Bachelor,No,2.68,No,3.15,11,30000
2020,Male,23,2018,BCSE,8,Yes,Yes,2,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,2.68,No,3.15,88,40000
2022,Male,20,2020,BCSE,2,Yes,Yes,4,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000
2020,Female,21,2019,BCSE,8,No,Yes,1,1,Online,Yes,Yes,2,Intermediate,95,No,No,No,Software Development,2,Software,Single,No,Family,Yes,2.68,No,3.15,88,40000
2018,Female,24,2017,BCSE,12,No,Yes,2,2,Offline,Yes,Yes,3,Intermediate,80,Yes,No,Yes,Networking,1,Machine Learning,Married,Yes,Family,No,2.68,No,3.15,136,30000
2020,Male,22,2019,BCSE,8,No,No,3,1,Online,Yes,Yes,1,Intermediate,100,No,No,No,Programming,8,Software,Single,Yes,Bachelor,No,2.68,No,3.15,88,35000
2020,Male,21,2019,BCSE,8,No,Yes,4,1,Offline,Yes,Yes,2,Basic,95,No,No,Yes,Programming,2,Software,Single,No,Bachelor,No,2.68,No,3.15,88,25000
2022,Female,20,2020,BCSE,2,Yes,Yes,5,3,Offline,Yes,No,2,Basic,99,No,No,Yes,Programming,2,Software,Single,Yes,Family,Yes,2.68,No,3.15,11,600000
2022,Female,20,2019,BCSE,2,Yes,Yes,4,3,Offline,Yes,Yes,4,Basic,100,No,No,Yes,Programming,2,Software,Engaged,No,Family,No,2.68,No,3.15,11,35000
2020,Female,20,2019,BCSE,8,Yes,No,1,1,Offline,Yes,Yes,5,Intermediate,80,No,No,Yes,Web development,2,Software,Married,No,Bachelor,No,3.49,No,3.67,71,40000
2020,Male,21,2019,BCSE,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100,No,No,Yes,Web development,2,NETWORKING,Single,No,Bachelor,No,3.07,No,2.74,85,20000
2019,Male,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,8,Intermediate,85,No,No,Yes,Graphics Designing,1,NETWORKING,Single,No,Family,No,2.68,No,3.15,88,20000
2019,Female,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,1,NETWORKING,Single,No,Family,No,3.76,No,3.50,83,92000
2020,Male,22,2019,BCSE,8,No,Yes,3,1,Offline,No,Yes,1,Intermediate,98,No,No,No,Web development,2,Software,Single,No,Family,No,2.70,No,2.80,80,35000
2020,Male,22,2019,BCSE,8,No,No,2,1,Offline,Yes,Yes,2,Intermediate,95,No,No,No,Web development,2,NETWORKING,Single,No,Bachelor,No,2.68,No,3.15,88,20000
2020,Male,23,2017,BCSE,8,No,Yes,1,1,Online,Yes,Yes,1,Intermediate,99,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,2.68,No,3.15,88,15000
2020,Male,23,2017,BCSE,8,Yes,Yes,2,1,Online,Yes,Yes,1,Intermediate,96,No,No,No,Networking,2,NETWORKING,Single,Yes,Family,No,2.68,No,3.15,88,30000
2022,Male,21,2020,BCSE,2,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,3.65,No,3.15,11,45000
2020,Male,22,2019,BCSE,8,No,Yes,1,1,Offline,Yes,Yes,15,Intermediate,100,No,No,Yes,Web development,1,Hardware,Relationship,No,Family,No,2.68,No,3.15,88,90000
2020,Female,21,2019,BCSE,8,No,No,2,2,Offline,Yes,Yes,2,Basic,80,No,No,No,Web development,1,Machine Learning,Single,No,Family,No,2.68,No,3.15,88,35000
2020,Male,20,2019,BCSE,8,Yes,Yes,2,1,Online,Yes,Yes,3,Basic,95,No,No,No,Web development,3,Software,Single,No,Bachelor,No,2.68,No,3.15,88,20000
2021,Male,21,2020,BCSE,2,Yes,Yes,4,2,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Web development,2,Software,Single,Yes,Bachelor,No,2.68,No,3.15,11,100000
2019,Male,23,2018,BCSE,11,Yes,No,6,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Web development,2,Software,Single,Yes,Bachelor,No,3.84,No,3.10,73,30000
2022,Female,20,2020,BCSE,2,No,No,2,1,Offline,Yes,Yes,6,Intermediate,80,Yes,No,No,Programming,2,Software,Single,No,Bachelor,No,2.68,No,3.15,11,70000
2018,Female,24,2016,BCSE,10,No,Yes,2,1,Online,Yes,Yes,4,Basic,90,Yes,No,No,Web development,4,Software,Single,No,Family,No,2.68,No,3.15,113,40000
2022,Female,21,2020,BCSE,2,Yes,No,2,4,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Engaged,Yes,Bachelor,No,2.68,No,3.15,11,10000
2021,Male,20,2020,BCSE,4,Yes,Yes,2,1,Offline,Yes,Yes,2,Advance,82,No,No,Yes,Programming,4,Software,Relationship,No,Bachelor,No,2.68,No,3.15,36,40000
2021,Male,22,2020,BCSE,4,Yes,Yes,1,1,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Programming,0,Software,Single,No,Family,No,2.68,No,3.15,36,20000
2021,Male,20,2019,BCSE,5,No,No,3,2,Offline,Yes,Yes,1,Intermediate,98,No,No,No,Web development,8,Machine Learning,Single,Yes,Bachelor,No,2.68,No,3.15,50,22000
2019,Male,23,2017,BCSE,11,No,Yes,3,2,Online,Yes,Yes,1,Intermediate,85,Yes,No,Yes,Web development,2,Software,Single,No,Bachelor,Yes,2.68,No,3.15,126,45000
2020,Female,21,2019,BCSE,8,No,Yes,4,1,Offline,Yes,Yes,3,Intermediate,90,No,No,Yes,Web development,1,Software,Single,No,Family,No,2.68,No,3.15,88,40000
2022,Female,20,2020,BCSE,2,Yes,Yes,2,1,Offline,Yes,Yes,5,Intermediate,90,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,2.68,No,3.15,11,50000
2020,Female,22,2019,BCSE,8,Yes,No,3,1,Offline,Yes,Yes,4,Intermediate,90,No,No,Yes,Web development,2,Software,Single,No,Bachelor,No,2.68,No,3.15,88,50000
2018,Male,23,2017,BCSE,13,No,No,2,4,Offline,Yes,Yes,6,Basic,88,Yes,No,Yes,Networking,1,Software,Relationship,No,Bachelor,No,2.68,No,3.15,112,30000
2022,Male,20,2020,BCSE,2,Yes,No,3,4,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Software Development,5,Software,Single,No,Bachelor,No,2.68,No,3.15,11,40000
2021,Male,19,2020,BCSE,4,Yes,No,1,1,Offline,Yes,No,1,Intermediate,95,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,3.50,No,3.58,35,30000
2021,Male,21,2019,BCSE,4,Yes,Yes,4,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Web development,2,Software,Single,Yes,Family,No,3.38,No,3.82,27,40000
2020,Male,21,2019,BCSE,8,No,No,2,2,Offline,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,Programming,1,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,88,30000
2019,Female,22,2017,BCSE,10,No,No,9,3,Online,Yes,Yes,1,Intermediate,88,Yes,No,No,Database,1,Hardware,Single,No,Bachelor,No,2.68,No,3.15,113,62488
2022,Female,19,2020,BCSE,2,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,100,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,2.68,No,3.15,11,35000
2022,Female,22,2022,BCSE,4,Yes,No,1,1,Offline,Yes,Yes,10,Basic,80,Yes,No,No,Programming,2,Software,Single,No,Family,No,2.68,No,3.15,36,100000
2021,Male,22,2018,BCSE,4,Yes,No,3,2,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,Networking,3,Machine Learning,Single,No,Bachelor,No,2.68,No,3.15,36,30000
2019,Female,21,2019,BCSE,9,No,No,2,3,Offline,Yes,Yes,3,Basic,92,Yes,No,Yes,Web development,1,Software,Single,Yes,Bachelor,No,1.89,No,2.69,86,20000
2021,Female,19,2020,BCSE,4,Yes,No,7,3,Offline,Yes,No,3,Advance,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,3.70,No,3.77,35,62488
2022,Male,19,2020,BCSE,2,Yes,No,4,2,Offline,Yes,Yes,2,Intermediate,95,No,No,Yes,Programming,2,Software,Single,Yes,Family,No,2.68,No,3.15,11,30000
2022,Male,21,2019,BCSE,2,Yes,No,5,2,Offline,Yes,Yes,3,Intermediate,95,No,No,No,Programming,2,Software,Single,No,Bachelor,No,2.68,No,3.15,11,20000
2019,Male,25,2018,BCSE,11,Yes,No,2,1,Offline,Yes,Yes,2,Intermediate,70,Yes,No,No,Web development,4,Software,Single,No,Bachelor,Yes,0.00,No,2.53,91,30000
2019,Female,22,2019,BCSE,9,No,Yes,3,3,Online,Yes,No,2,Basic,99,No,No,Yes,Web development,2,Data Science,Single,No,Family,Yes,2.68,No,3.15,100,20000
2018,Male,24,2017,BCSE,13,No,No,2,2,Offline,Yes,Yes,4,Basic,50,Yes,Yes,Yes,Web development,5,Software,Married,Yes,Bachelor,No,2.20,No,2.66,110,60000
2017,Male,22,2017,BCSE,15,Yes,No,1,1,Offline,Yes,Yes,4,Advance,100,Yes,No,Yes,Web development,4,Software,Single,No,Bachelor,Yes,2.60,No,2.60,90,62488
2019,Female,22,2018,BCSE,11,No,Yes,3,1,Offline,Yes,Yes,3,Intermediate,95,No,No,Yes,Networking,0,Software,Married,No,Family,Yes,2.70,No,2.91,120,150000
2018,Male,23,2017,BCSE,14,No,No,2,2,Online,Yes,Yes,1,Intermediate,90,Yes,Yes,Yes,Programming,2,Software,Single,Yes,Family,No,2.87,No,2.99,120,30000
2021,Male,20,2019,BCSE,5,No,No,4,4,Offline,Yes,Yes,1,Intermediate,95,Yes,No,No,Programming,4,Software,Single,No,Bachelor,No,2.68,No,3.15,50,25000
2019,Male,23,2017,BCSE,9,No,Yes,2,1,Online,Yes,Yes,4,Intermediate,70,No,No,Yes,Cyber security,4,NETWORKING,Relationship,Yes,Family,No,2.68,No,3.15,100,200000
2015,Male,26,2012,BCSE,21,No,No,1,1,Offline,Yes,Yes,1,Basic,85,Yes,No,No,Web development,1,Hardware,Single,No,Bachelor,Yes,2.68,Yes,3.15,77,50000
2019,Male,22,2019,BCSE,9,No,No,3,5,Online,Yes,Yes,1,Intermediate,99,No,No,No,Web development,3,Software,Single,No,Bachelor,No,2.68,No,3.15,100,40000
2019,Male,23,2018,BCSE,9,No,Yes,1,1,Offline,Yes,Yes,1,Intermediate,70,No,No,No,Web development,1,Hardware,Relationship,Yes,Family,Yes,2.70,No,2.92,76,15000
2019,Male,21,2018,BCSE,11,No,Yes,2,1,Offline,Yes,Yes,1,Intermediate,73,No,No,Yes,Programming,2,NETWORKING,Single,No,Family,No,2.68,No,3.15,126,75000
2019,Male,22,2018,BCSE,11,No,No,2,2,Online,Yes,Yes,1,Intermediate,100,Yes,Yes,Yes,Programming,2,Software,Single,No,Bachelor,Yes,2.68,No,3.15,126,40000
2018,Female,23,2016,BCSE,14,No,Yes,3,2,Offline,Yes,Yes,1,Basic,70,Yes,No,No,Programming,2,Hardware,Single,No,Bachelor,Yes,2.98,Yes,2.96,118,20000
2019,Female,21,2018,BCSE,11,No,No,1,1,Offline,Yes,Yes,2,Advance,75,No,No,Yes,Web development,2,Software,Relationship,No,Family,No,2.68,No,3.15,126,40000
2021,Female,20,2019,BCSE,2,Yes,No,5,2,Offline,Yes,Yes,7,Basic,80,No,No,No,Programming,2,Software,Single,Yes,Bachelor,Yes,2.68,No,3.15,11,62488
2019,Female,21,2019,BCSE,9,No,No,6,3,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Web development,4,Software,Single,No,Bachelor,No,2.68,No,3.15,100,62488
2019,Male,22,2019,BCSE,9,No,No,3,4,Offline,Yes,Yes,2,Intermediate,99,No,No,No,Web development,7,Web Development,Single,No,Bachelor,No,3.52,No,2.90,100,15000
2020,Male,23,2018,BCSE,8,Yes,Yes,4,5,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Programming,2,Software,Single,Yes,Bachelor,No,3.48,No,3.08,68,20000
2016,Male,25,2014,BCSE,11,Yes,Yes,2,1,Online,Yes,Yes,3,Advance,90,Yes,No,Yes,Web development,3,Software,Single,Yes,Family,No,2.68,No,3.15,126,63000
2019,Female,22,2018,BCSE,11,Yes,Yes,1,2,Online,Yes,Yes,3,Basic,80,No,No,No,Web development,3,NETWORKING,Single,No,Family,No,2.68,No,3.15,126,50000
2020,Male,20,2019,BCSE,6,No,No,2,2,Online,Yes,Yes,5,Basic,90,Yes,No,No,Networking,2,NETWORKING,Single,No,Family,No,2.68,No,3.15,65,40000
2018,Male,25,2016,BCSE,14,No,No,6,4,Online,Yes,Yes,2,Advance,2,Yes,No,Yes,Web development,4,Software,Single,Yes,Family,No,3.16,No,2.68,121,60000
2021,Female,21,2019,BCSE,5,No,No,2,3,Offline,Yes,Yes,1,Basic,87,Yes,No,Yes,Programming,1,UI/UX,Married,No,Family,No,1.92,No,2.42,39,60000
